"","SAMPLE_ID","GENUS","GENUS_NAME","CVM_NUMBER","GROWTH","SPECIES","SEROTYPE","ANTIGENIC_FORMULA","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","COMPLETED_BY","ORGANIC_IND","ANTIBIOTIC_IND","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC.Sign","AMC","AMC.SIR","AMI.Sign","AMI","AMI.SIR","AMP.Sign","AMP","AMP.SIR","ATM.Sign","ATM","ATM.SIR","AXO.Sign","AXO","AXO.SIR","AZI.Sign","AZI","AZI.SIR","BAC.Sign","BAC","BAC.SIR","CAZ.Sign","CAZ","CAZ.SIR","CCV.Sign","CCV","CCV.SIR","CEP.Sign","CEP","CEP.SIR","CEQ.Sign","CEQ","CEQ.SIR","CHL.Sign","CHL","CHL.SIR","CIP.Sign","CIP","CIP.SIR","CLI.Sign","CLI","CLI.SIR","COT.Sign","COT","COT.SIR","CTC.Sign","CTC","CTC.SIR","CTX.Sign","CTX","CTX.SIR","DAP.Sign","DAP","DAP.SIR","DOX.Sign","DOX","DOX.SIR","ERY.Sign","ERY","ERY.SIR","FEP.Sign","FEP","FEP.SIR","FFN.Sign","FFN","FFN.SIR","FIS.Sign","FIS","FIS.SIR","FLA.Sign","FLA","FLA.SIR","FOX.Sign","FOX","FOX.SIR","GEN.Sign","GEN","GEN.SIR","IMI.Sign","IMI","IMI.SIR","KAN.Sign","KAN","KAN.SIR","LIN.Sign","LIN","LIN.SIR","LZD.Sign","LZD","LZD.SIR","MER.Sign","MER","MER.SIR","NAL.Sign","NAL","NAL.SIR","NIT.Sign","NIT","NIT.SIR","PEN.Sign","PEN","PEN.SIR","PTZ.Sign","PTZ","PTZ.SIR","QDA.Sign","QDA","QDA.SIR","SAL.Sign","SAL","SAL.SIR","SMX.Sign","SMX","SMX.SIR","STR.Sign","Str","STR.SIR","TEL.Sign","TEL","TEL.SIR","TET.Sign","TET","TET.SIR","TGC.Sign","TGC","TGC.SIR","TIO.Sign","TIO","TIO.SIR","TYL.Sign","TYL","TYL.SIR","VAN.Sign","VAN","VAN.SIR","APR.Sign","APR","DAN.Sign","DAN","DIF.Sign","DIF","EFX.Sign","EFX","GAT.Sign","GAT","LVX.Sign","LVX","MAR.Sign","MAR","OBX.Sign","OBX","TIC.Sign","TIC","GENOTYPE","ACCESSION_NUMBER","Aminoglycoside.Resist.Genes","Beta.lactam.Resist.Genes","Glycopeptide.Resist.Genes","Macrolide.Resist.Genes","QAC.Resist.Genes","Quinolone.Resist.Genes","Sulfonamide.Resist.Genes","Tetracycline.Resist.Genes","Trimethoprim.Resist.Genes","Phenicol.Resist.Genes","Other.Classes.Resist.Genes","cefres"
"15089","11MD05GT10","S","Salmonella","N31398","YES","","Berta","","11MD05GT10-S","8/12/11","CMV2AGNF","MD",5,2011,"GT","","5/29/11","5/23/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15094","11MD05PC08","S","Salmonella","N31399","YES","","Berta","","11MD05PC08-S","8/12/11","CMV2AGNF","MD",5,2011,"PC","CUT/ GROUND","5/26/11","5/23/11","","NO","NO","","FDA","Retail Pork Chops","Swine","CUT/GROUND","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",1,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15099","11MD06CB03","S","Salmonella","N31400","YES","","Typhimurium","","11MD06CB03-S","8/12/11","CMV2AGNF","MD",6,2011,"CB","","6/11/11","6/6/11","","NO","NO","","FDA","Retail Chickens","Chickens","","=",32,"R","",NA,"",">",32,"R","=",8,"I","=",8,"R","=",4,"S","",NA,"","=",32,"R","=",16,NA,"",NA,"","=",1,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",16,NA,"=",16,"R","",NA,"","",NA,"","",NA,"","=",0.5,"S","",NA,"",">",256,"R","",NA,"","=",16,"I","<=",0.25,"S","=",0.5,"S","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15106","11MD06CB07","S","Salmonella","N31401","YES","","Typhimurium","","11MD06CB07-S","8/12/11","CMV2AGNF","MD",6,2011,"CB","","6/30/11","6/20/11","","NO","NO","","FDA","Retail Chickens","Chickens","",">",32,"R","",NA,"",">",32,"R","=",4,"S","=",16,"R","=",4,"S","",NA,"","=",16,"R","=",8,NA,"",NA,"","=",0.5,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",8,NA,"=",8,"R","",NA,"","",NA,"","",NA,"","=",0.25,"S","",NA,"",">",256,"R","",NA,"","=",32,"R","=",0.5,"S","=",0.25,"S",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"",">",32,"R","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15137","11MD06GT06","S","Salmonella","N31402","YES","","Senftenberg","","11MD06GT06-S","8/12/11","CMV2AGNF","MD",6,2011,"GT","","7/2/11","6/20/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","=",0.125,"S","<=",0.25,"S","=",2,"S","",NA,"","=",0.25,"S","=",0.125,NA,"",NA,"","=",0.125,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",0.125,NA,"=",0.125,"S","",NA,"","",NA,"","",NA,"","<=",0.06,"S","",NA,"","=",32,"S","",NA,"","=",4,"S","=",0.5,"S","=",0.25,"S","=",16,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15171","11MD07CB08","S","Salmonella","N31403","YES","","Mbandaka","","11MD07CB08-S","8/12/11","CMV2AGNF","MD",7,2011,"CB","","7/28/11","7/25/11","","NO","NO","","FDA","Retail Chickens","Chickens","","<=",1,"S","",NA,"","<=",1,"S","=",0.125,"S","<=",0.25,"S","=",4,"S","",NA,"","=",0.25,"S","=",0.125,NA,"",NA,"","=",0.125,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",0.125,NA,"=",0.125,"S","",NA,"","",NA,"","",NA,"","<=",0.06,"S","",NA,"","=",32,"S","",NA,"","=",4,"S","=",0.5,"S","=",0.25,"S",">",64,"R","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15195","11MD07GT03","S","Salmonella","N31404","YES","","Berta","","11MD07GT03-S","8/12/11","CMV2AGNF","MD",7,2011,"GT","","7/20/11","7/11/11","","NO","YES","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",1,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15249","11MD08GT02","S","Salmonella","N31844","YES","","Heidelberg","","11MD08GT02-S","10/11/11","CMV2AGNF","MD",8,2011,"GT","","8/21/11","8/8/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",1,"S",">",16,"R","",NA,"","=",32,"I","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15262","11MD08GT09","S","Salmonella","N31845","YES","","Saintpaul","","11MD08GT09-S","10/11/11","CMV2AGNF","MD",8,2011,"GT","","8/28/11","8/22/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","=",16,"I","",NA,"",">",32,"R","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",2,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15275","11MD08PC08","S","Salmonella","N31846","YES","","Saintpaul","","11MD08PC08-S","10/11/11","CMV2AGNF","MD",8,2011,"PC","CUT/ GROUND","8/24/11","8/22/11","","NO","YES","","FDA","Retail Pork Chops","Swine","CUT/GROUND","=",8,"S","",NA,"",">",32,"R","",NA,"","=",2,"I","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",4,"S",">",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15379","11MD10GT08","S","Salmonella","N35516","YES","","Hadar","","11MD10GT08-S","12/6/11","CMV2AGNF","MD",10,2011,"GT","","10/25/11","10/17/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15396","11MD11CB02","S","Salmonella","N38231","YES","","Kentucky","","11MD11CB02-S","1/27/12","CMV2AGNF","MD",11,2011,"CB","","11/21/11","11/14/11","","NO","NO","","FDA","Retail Chickens","Chickens","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15397","11MD11CB03","S","Salmonella","N38232","YES","","Kentucky","","11MD11CB03-S","1/27/12","CMV2AGNF","MD",11,2011,"CB","","11/17/11","11/14/11","","NO","NO","","FDA","Retail Chickens","Chickens","","<=",1,"S","",NA,"","<=",1,"S","=",16,"R","<=",0.25,"S","=",4,"S","",NA,"","=",4,"S","=",64,NA,"",NA,"","=",2,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",64,NA,"=",32,"R","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","=",64,"S","",NA,"","=",2,"S","<=",0.25,"S","=",2,"I","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15399","11MD11CB06","S","Salmonella","N38233","YES","","Enteritidis","","11MD11CB06-S","1/27/12","CMV2AGNF","MD",11,2011,"CB","CUT/ GROUND","11/28/11","11/28/11","","NO","NO","","FDA","Retail Chickens","Chickens","CUT/GROUND","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15402","11MD11GB01","S","Salmonella","N38238","YES","","Kentucky","","11MD11GB01-S","1/27/12","CMV2AGNF","MD",11,2011,"GB","CUT/ GROUND","11/14/11","11/14/11","","NO","NO","","FDA","Retail Ground Beef","Cattle","CUT/GROUND","<=",1,"S","",NA,"","<=",1,"S","=",2,"S","<=",0.25,"S","=",4,"S","",NA,"","=",8,"I","=",8,NA,"",NA,"","=",0.5,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",8,NA,"=",8,"R","",NA,"","",NA,"","",NA,"","=",0.5,"S","",NA,"","=",128,"S","",NA,"","=",2,"S","<=",0.25,"S","=",0.5,"S","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15403","11MD11GB02","S","Salmonella","N38239","YES","","Kentucky","","11MD11GB02-S","1/27/12","CMV2AGNF","MD",11,2011,"GB","CUT/ GROUND","11/15/11","11/14/11","","NO","NO","","FDA","Retail Ground Beef","Cattle","CUT/GROUND","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15404","11MD11GB05","S","Salmonella","N38240","YES","","Kentucky","","11MD11GB05-S","1/27/12","CMV2AGNF","MD",11,2011,"GB","CUT/ GROUND","11/15/11","11/14/11","","NO","NO","","FDA","Retail Ground Beef","Cattle","CUT/GROUND","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15405","11MD11GT01","S","Salmonella","N38234","YES","","Typhimurium","","11MD11GT01-S","1/27/12","CMV2AGNF","MD",11,2011,"GT","CUT/ GROUND","11/14/11","11/14/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","CUT/GROUND","=",32,"R","",NA,"",">",32,"R","=",4,"S","=",8,"R","=",4,"S","",NA,"","=",8,"I","=",4,NA,"",NA,"","=",0.25,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",4,NA,"=",4,"R","",NA,"","",NA,"","",NA,"","=",0.25,"S","",NA,"",">",256,"R","",NA,"",">",32,"R","<=",0.25,"S","=",0.5,"S","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",4,"I","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15406","11MD11GT02","S","Salmonella","N38235","YES","","Kentucky","","11MD11GT02-S","1/27/12","CMV2AGNF","MD",11,2011,"GT","","11/18/11","11/14/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15407","11MD11GT04","S","Salmonella","N38236","YES","","Kentucky","","11MD11GT04-S","1/27/12","CMV2AGNF","MD",11,2011,"GT","","11/25/11","11/14/11","","NO","YES","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","",NA,"","<=",1,"S","",NA,"","<=",0.25,"S","=",4,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",16,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15413","11MD12CB09","S","Salmonella","N38242","YES","","Typhimurium","","11MD12CB09-S","1/27/12","CMV2AGNF","MD",12,2011,"CB","CUT/ GROUND","12/15/11","12/12/11","","NO","NO","","FDA","Retail Chickens","Chickens","CUT/GROUND",">",32,"R","",NA,"",">",32,"R","=",4,"S","=",16,"R","=",4,"S","",NA,"","=",16,"R","=",8,NA,"",NA,"","=",0.25,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","=",8,NA,"=",8,"R","",NA,"","",NA,"","",NA,"","=",0.25,"S","",NA,"",">",256,"R","",NA,"","=",32,"R","=",0.5,"S","=",0.5,"S",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"",">",32,"R","",NA,"","=",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
"15415","11MD12GT07","S","Salmonella","N38245","YES","","Hadar","","11MD12GT07-S","1/27/12","CMV2AGNF","MD",12,2011,"GT","","12/26/11","12/12/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","=",16,"I","",NA,"",">",32,"R","",NA,"","<=",0.25,"S","=",2,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15416","11MD12GT08","S","Salmonella","N38246","YES","","Hadar","","11MD12GT08-S","1/27/12","CMV2AGNF","MD",12,2011,"GT","","12/26/11","12/12/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","","=",16,"I","",NA,"",">",32,"R","",NA,"","<=",0.25,"S","=",2,"S","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"15420","11MN01GT04","S","Salmonella","N29334","YES","","Agona","","11MN01GT04-S","4/14/11","CMV2AGNF","MN",1,2011,"GT","","1/16/11","1/10/11","","NO","NO","","FDA","Retail Ground Turkey","Turkeys","",">",32,"R","",NA,"",">",32,"R","=",32,"R","=",32,"R","=",8,"S","",NA,"","=",64,"R","=",32,NA,"",NA,"","=",2,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","=",32,NA,"=",32,"R","",NA,"","",NA,"","",NA,"","=",0.5,"S","",NA,"","=",64,"S","",NA,"",">",32,"R","=",0.5,"S","=",0.25,"S","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","=",8,"I","",NA,"",">",8,"R","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"R"
